,Tipo,Alto,Normal,Baixo,MÃ­nimo
1/2005,Tipo1,,491.59,357.25,296.73
1/2005,Tipo2,,552.51,400.47,333.38
1/2005,Tipo3,,547.9,405.8,343.79
1/2005,Tipo4,552.31,467.12,337.99,
1/2005,Tipo5,,598.81,432.28,363.71
1/2005,Tipo6,,506.95,395.42,343.96
1/2005,Tipo7,,445.69,350.15,301.51
2/2005,Tipo1,,490.03,358.33,297.39
2/2005,Tipo2,,550.97,401.83,334.26
2/2005,Tipo3,,546.49,407,344.6
2/2005,Tipo4,553.48,465.77,338.97,
2/2005,Tipo5,,597.11,433.77,364.65
2/2005,Tipo6,,507.06,397.35,345.47
2/2005,Tipo7,,446.04,352.13,303.13
3/2005,Tipo1,,490.93,359.22,297.62
3/2005,Tipo2,,551.89,402.76,334.51
3/2005,Tipo3,,547.31,407.77,344.72
3/2005,Tipo4,555.19,466.66,339.8,
3/2005,Tipo5,,598.06,434.7,364.87
3/2005,Tipo6,,507.95,398.13,345.62
3/2005,Tipo7,,446.79,352.83,303.23
4/2005,Tipo1,,493.01,359.75,297.89
4/2005,Tipo2,,554.1,403.35,334.79
4/2005,Tipo3,,549.38,408.31,344.99
4/2005,Tipo4,560.63,468.64,340.3,
4/2005,Tipo5,,600.39,435.34,365.18
4/2005,Tipo6,,509.21,398.53,345.67
4/2005,Tipo7,,447.7,353.1,303.26
5/2005,Tipo1,,507.43,369.15,305.73
5/2005,Tipo2,,570.27,413.96,343.65
5/2005,Tipo3,,565.44,419.16,354.12
5/2005,Tipo4,575.37,482.55,349.31,
5/2005,Tipo5,,617.96,446.91,374.89
5/2005,Tipo6,,524,409.46,355.19
5/2005,Tipo7,,459.74,361.99,310.78
6/2005,Tipo1,,510.13,370.91,307.43
6/2005,Tipo2,,573.35,415.99,345.57
6/2005,Tipo3,,568.47,421.19,356.03
6/2005,Tipo4,577.33,485.08,350.89,
6/2005,Tipo5,,621.3,449.11,376.99
6/2005,Tipo6,,526.52,411.39,357.01
6/2005,Tipo7,,462.16,363.77,312.48
7/2005,Tipo1,,511.37,372.12,308.51
7/2005,Tipo2,,574.86,417.49,346.92
7/2005,Tipo3,,570.21,422.72,357.45
7/2005,Tipo4,578.38,486.57,352.07,
7/2005,Tipo5,,622.62,450.71,378.42
7/2005,Tipo6,,528.79,413.61,359.11
7/2005,Tipo7,,464.56,366.12,314.74
8/2005,Tipo1,,512.17,372.51,308.82
8/2005,Tipo2,,575.83,417.97,347.32
8/2005,Tipo3,,571.15,423.24,357.9
8/2005,Tipo4,579.51,487.3,352.4,
8/2005,Tipo5,,623.68,451.27,378.88
8/2005,Tipo6,,529.77,414.1,359.56
8/2005,Tipo7,,465.3,366.55,315.11
9/2005,Tipo1,,508.98,371.33,307.08
9/2005,Tipo2,,572.65,416.88,345.59
9/2005,Tipo3,,568.39,422.21,356.22
9/2005,Tipo4,575.93,484.71,351.44,
9/2005,Tipo5,,620.25,450.02,376.94
9/2005,Tipo6,,528.77,413.87,358.78
9/2005,Tipo7,,464.56,366.4,314.38
10/2005,Tipo1,,510.37,371.19,307.03
10/2005,Tipo2,,574.2,416.76,345.54
10/2005,Tipo3,,569.68,422,356.06
10/2005,Tipo4,577.29,485.82,351.23,
10/2005,Tipo5,,621.95,449.89,376.89
10/2005,Tipo6,,529.55,413.76,358.79
10/2005,Tipo7,,465.31,366.31,314.34
11/2005,Tipo1,,512.11,371.84,307.54
11/2005,Tipo2,,576.07,417.41,346.06
11/2005,Tipo3,,571.38,422.66,356.58
11/2005,Tipo4,578.78,487.36,351.93,
11/2005,Tipo5,,623.97,450.5,377.36
11/2005,Tipo6,,530.95,414.35,359.19
11/2005,Tipo7,,466.47,366.79,314.69
12/2005,Tipo1,,514.21,373.8,307.85
12/2005,Tipo2,,578.07,419.34,346.39
12/2005,Tipo3,,573.49,424.58,356.98
12/2005,Tipo4,579.78,489.39,353.78,
12/2005,Tipo5,,626.01,452.46,377.72
12/2005,Tipo6,,532.7,416.24,359.67
12/2005,Tipo7,,468.21,368.67,315.07
1/2006,Tipo1,,515.45,374.47,308.28
1/2006,Tipo2,,579.45,420.07,346.85
1/2006,Tipo3,,574.98,425.49,357.62
1/2006,Tipo4,581.13,490.6,354.47,
1/2006,Tipo5,,627.61,453.27,378.23
1/2006,Tipo6,,533.76,416.77,359.91
1/2006,Tipo7,,469.07,369.07,315.23
2/2006,Tipo1,,516.55,375.01,308.78
2/2006,Tipo2,,580.65,420.66,347.4
2/2006,Tipo3,,576.24,426.26,358.35
2/2006,Tipo4,581.9,491.62,355.03,
2/2006,Tipo5,,629.06,453.98,378.89
2/2006,Tipo6,,534.55,417.3,360.4
2/2006,Tipo7,,469.88,369.63,315.77
3/2006,Tipo1,,517.41,375.4,308.83
3/2006,Tipo2,,581.64,421.12,347.46
3/2006,Tipo3,,577.23,426.75,358.47
3/2006,Tipo4,582.71,492.53,355.5,
3/2006,Tipo5,,630.17,454.49,378.96
3/2006,Tipo6,,535.66,417.91,360.56
3/2006,Tipo7,,470.89,370.26,316.06
4/2006,Tipo1,,519.19,376.1,309.52
4/2006,Tipo2,,583.63,421.9,348.23
4/2006,Tipo3,,578.93,427.35,359.08
4/2006,Tipo4,584.47,493.95,355.99,
4/2006,Tipo5,,632.29,455.29,379.76
4/2006,Tipo6,,536.71,418.08,360.74
4/2006,Tipo7,,471.44,370.08,315.89
5/2006,Tipo1,,523.79,378.91,312.35
5/2006,Tipo2,,588.8,425.1,351.44
5/2006,Tipo3,,583.92,430.56,362.31
5/2006,Tipo4,589.78,498.33,358.7,
5/2006,Tipo5,,637.68,458.62,383.06
5/2006,Tipo6,,541.1,421.29,363.96
5/2006,Tipo7,,474.88,372.52,318.35
6/2006,Tipo1,,535.8,387.44,320.25
6/2006,Tipo2,,602.5,434.87,360.44
6/2006,Tipo3,,597.55,440.52,371.46
6/2006,Tipo4,602.75,509.77,366.81,
6/2006,Tipo5,,652.42,469.14,392.76
6/2006,Tipo6,,554.25,431.62,373.76
6/2006,Tipo7,,486.1,381.28,326.54
7/2006,Tipo1,,537.32,387.99,320.77
7/2006,Tipo2,,604.21,435.49,361.05
7/2006,Tipo3,,599.13,441.05,372.09
7/2006,Tipo4,603.76,511.03,367.07,
7/2006,Tipo5,,654.23,469.89,393.54
7/2006,Tipo6,,555.76,432.13,374.18
7/2006,Tipo7,,487.05,381.51,326.86
8/2006,Tipo1,,539.15,388.85,321.71
8/2006,Tipo2,,606.38,436.58,362.23
8/2006,Tipo3,,601.26,442.17,373.33
8/2006,Tipo4,605.87,512.79,367.89,
8/2006,Tipo5,,656.26,470.9,394.71
8/2006,Tipo6,,558.31,433.95,376
8/2006,Tipo7,,489.47,383.35,328.81
9/2006,Tipo1,,539.18,388.69,322.22
9/2006,Tipo2,,606.64,436.6,362.9
9/2006,Tipo3,,601.58,442.12,373.91
9/2006,Tipo4,606.45,513.12,367.75,
9/2006,Tipo5,,656.37,470.93,395.39
9/2006,Tipo6,,559.13,434.58,377.25
9/2006,Tipo7,,490.51,384.12,330.2
10/2006,Tipo1,,541.02,389.18,323.21
10/2006,Tipo2,,608.8,437.22,363.99
10/2006,Tipo3,,603.63,442.8,375.04
10/2006,Tipo4,608.89,514.75,368.18,
10/2006,Tipo5,,658.81,471.67,396.58
10/2006,Tipo6,,560.83,434.92,378.03
10/2006,Tipo7,,491.64,384.26,330.78
11/2006,Tipo1,,543.07,389.96,324.47
11/2006,Tipo2,,611.12,438.13,365.36
11/2006,Tipo3,,605.83,443.81,376.48
11/2006,Tipo4,612.21,516.55,368.87,
11/2006,Tipo5,,661.29,472.67,398.04
11/2006,Tipo6,,562.19,435.48,379.01
11/2006,Tipo7,,492.63,384.59,331.54
12/2006,Tipo1,,544.4,391.05,325.51
12/2006,Tipo2,,612.59,439.36,366.54
12/2006,Tipo3,,607.75,445.43,378.02
12/2006,Tipo4,615.74,517.93,369.92,
12/2006,Tipo5,,662.79,473.96,399.27
12/2006,Tipo6,,563.51,436.63,380.08
12/2006,Tipo7,,493.63,385.47,332.35
1/2007,Tipo1,,545.92,391.02,325.38
1/2007,Tipo2,,614.4,439.36,366.42
1/2007,Tipo3,,609.59,445.54,378.04
1/2007,Tipo4,618.48,519.45,369.94,
1/2007,Tipo5,,664.76,474,399.16
1/2007,Tipo6,,565.33,437.04,380.33
1/2007,Tipo7,,495.38,385.87,332.66
2/2007,Tipo1,,548.46,391.77,326.51
2/2007,Tipo2,,617.31,440.25,367.67
2/2007,Tipo3,,612.52,446.56,379.41
2/2007,Tipo4,619.93,521.89,370.65,
2/2007,Tipo5,,667.87,475,400.54
2/2007,Tipo6,,567.87,438.18,381.82
2/2007,Tipo7,,497.69,386.88,334.01
3/2007,Tipo1,,551.9,389.83,325.06
3/2007,Tipo2,,621.09,438.02,366
3/2007,Tipo3,,615.84,444.54,377.87
3/2007,Tipo4,622.42,524.67,368.79,
3/2007,Tipo5,,672.43,472.73,398.83
3/2007,Tipo6,,569.62,436.24,380.44
3/2007,Tipo7,,499.38,385.23,332.76
4/2007,Tipo1,,551.85,389.95,325.46
4/2007,Tipo2,,621.13,438.16,366.41
4/2007,Tipo3,,616.07,444.97,378.54
4/2007,Tipo4,623.84,524.71,368.97,
4/2007,Tipo5,,672.56,472.91,399.27
4/2007,Tipo6,,569.63,436.12,380.54
4/2007,Tipo7,,499.34,385.08,332.86
5/2007,Tipo1,,553.29,391,326.89
5/2007,Tipo2,,622.78,439.48,368.13
5/2007,Tipo3,,617.55,446.39,380.36
5/2007,Tipo4,624.81,525.82,369.98,
5/2007,Tipo5,,674.32,474.25,401.07
5/2007,Tipo6,,571.05,437.8,382.57
5/2007,Tipo7,,500.32,386.32,334.5
6/2007,Tipo1,,562.72,398.63,333.86
6/2007,Tipo2,,633.52,448.21,376.11
6/2007,Tipo3,,628.33,455.26,388.5
6/2007,Tipo4,634.34,534.83,377.21,
6/2007,Tipo5,,685.69,483.63,409.63
6/2007,Tipo6,,581.63,446.9,391.07
6/2007,Tipo7,,509.38,394.18,341.81
7/2007,Tipo1,,564.5,399.27,334.35
7/2007,Tipo2,,635.55,448.94,376.71
7/2007,Tipo3,,630.31,456.03,389.14
7/2007,Tipo4,634.51,536.47,377.81,
7/2007,Tipo5,,687.82,484.33,410.22
7/2007,Tipo6,,583.09,447.64,391.74
7/2007,Tipo7,,510.95,394.89,342.38
8/2007,Tipo1,,565.45,399.51,334.73
8/2007,Tipo2,,636.65,449.18,377.11
8/2007,Tipo3,,631.31,456.3,389.57
8/2007,Tipo4,635.49,537.27,378.09,
8/2007,Tipo5,,689.31,484.74,410.79
8/2007,Tipo6,,583.53,447.5,391.84
8/2007,Tipo7,,511.69,394.91,342.54
9/2007,Tipo1,,568.8,403.04,337.28
9/2007,Tipo2,,640.06,452.86,379.84
9/2007,Tipo3,,634.98,460.16,392.56
9/2007,Tipo4,639.08,540.37,381.35,
9/2007,Tipo5,,693.01,488.75,413.86
9/2007,Tipo6,,586.56,450.77,394.26
9/2007,Tipo7,,514.25,397.74,344.52
10/2007,Tipo1,,572.71,406.12,340.16
10/2007,Tipo2,,644.22,456.06,382.95
10/2007,Tipo3,,639.64,463.86,396.11
10/2007,Tipo4,643.79,543.94,384.09,
10/2007,Tipo5,,697.41,492.1,417.18
10/2007,Tipo6,,590.61,453.84,397.33
10/2007,Tipo7,,517.65,400.38,346.96
11/2007,Tipo1,,577.15,409.64,344.63
11/2007,Tipo2,,649.3,460.03,387.86
11/2007,Tipo3,,644.98,468.12,401.28
11/2007,Tipo4,648.57,548.27,387.46,
11/2007,Tipo5,,702.82,496.38,422.44
11/2007,Tipo6,,595.97,457.9,402.21
11/2007,Tipo7,,522.13,403.96,351.43
12/2007,Tipo1,,580.53,411.1,347.07
12/2007,Tipo2,,653.09,461.69,390.48
12/2007,Tipo3,,648.71,469.73,403.82
12/2007,Tipo4,652.91,551.9,388.99,
12/2007,Tipo5,,706.67,498.23,425.28
12/2007,Tipo6,,600.04,460.72,405.85
12/2007,Tipo7,,525.9,406.45,354.81
1/2008,Tipo1,,582.81,412.25,348.2
1/2008,Tipo2,,655.58,462.97,391.75
1/2008,Tipo3,,651.28,471.17,405.23
1/2008,Tipo4,655.27,554.15,390.22,
1/2008,Tipo5,,709.43,499.66,426.68
1/2008,Tipo6,,601.77,461.67,406.77
1/2008,Tipo7,,527.41,407.39,355.72
2/2008,Tipo1,,583.45,412.48,348.39
2/2008,Tipo2,,656.33,463.26,391.99
2/2008,Tipo3,,651.99,471.44,405.45
2/2008,Tipo4,656.8,554.8,390.43,
2/2008,Tipo5,,710.17,499.96,426.93
2/2008,Tipo6,,602.43,462.12,407.18
2/2008,Tipo7,,528.1,407.82,356.12
3/2008,Tipo1,,588.13,417.04,352.45
3/2008,Tipo2,,661.48,468.36,396.52
3/2008,Tipo3,,657.05,476.46,409.93
3/2008,Tipo4,660.72,559.27,394.7,
3/2008,Tipo5,,715.46,505.31,431.7
3/2008,Tipo6,,607.6,467.3,411.79
3/2008,Tipo7,,531.85,411.76,359.61
4/2008,Tipo1,,590.96,419.47,354.31
4/2008,Tipo2,,664.74,471.12,398.57
4/2008,Tipo3,,660.2,479.21,412.11
4/2008,Tipo4,663.84,561.73,396.87,
4/2008,Tipo5,,719.04,508.3,433.93
4/2008,Tipo6,,610.92,469.75,413.37
4/2008,Tipo7,,534.06,413.52,360.88
5/2008,Tipo1,,606.64,431.32,365.43
5/2008,Tipo2,,682.53,484.68,411.25
5/2008,Tipo3,,677.92,493.01,425.11
5/2008,Tipo4,680.05,576.4,407.95,
5/2008,Tipo5,,737.88,522.75,447.59
5/2008,Tipo6,,628.2,483.64,426.51
5/2008,Tipo7,,547.91,425.13,372.02
6/2008,Tipo1,,614.28,436.42,369.57
6/2008,Tipo2,,691.24,490.6,416.09
6/2008,Tipo3,,686.5,498.99,430.12
6/2008,Tipo4,687.03,583.69,412.86,
6/2008,Tipo5,,747.25,529,452.72
6/2008,Tipo6,,636.34,489.67,431.3
6/2008,Tipo7,,554.81,430.46,376.5
7/2008,Tipo1,,619.46,439.89,372.69
7/2008,Tipo2,,697.07,494.51,419.61
7/2008,Tipo3,,692.73,503.3,434.09
7/2008,Tipo4,696.77,588.54,416,
7/2008,Tipo5,,753.38,533.18,456.52
7/2008,Tipo6,,642.06,493.54,434.72
7/2008,Tipo7,,559.23,433.63,379.38
8/2008,Tipo1,,629.82,447.35,381
8/2008,Tipo2,,708.48,502.78,428.82
8/2008,Tipo3,,704.39,512.04,443.69
8/2008,Tipo4,708.13,598.48,423.23,
8/2008,Tipo5,,765.55,542.12,466.42
8/2008,Tipo6,,652.24,502.1,444.34
8/2008,Tipo7,,569.03,441.96,388.5
9/2008,Tipo1,,635.07,451.77,384.14
9/2008,Tipo2,,714.22,507.66,432.44
9/2008,Tipo3,,710.8,517.41,447.84
9/2008,Tipo4,712.71,603.88,427.74,
9/2008,Tipo5,,771.37,547.12,470.19
9/2008,Tipo6,,659.5,508.29,449.41
9/2008,Tipo7,,575.81,448.22,393.61
10/2008,Tipo1,,638.52,454.83,386.5
10/2008,Tipo2,,717.92,510.96,435.07
10/2008,Tipo3,,714.84,520.88,450.68
10/2008,Tipo4,715.87,607.36,430.69,
10/2008,Tipo5,,775.18,550.61,473.03
10/2008,Tipo6,,663.64,511.79,452.33
10/2008,Tipo7,,579.35,451.48,396.24
11/2008,Tipo1,,645.92,461.4,389.62
11/2008,Tipo2,,725.56,517.89,438.41
11/2008,Tipo3,,722.2,527.49,453.98
11/2008,Tipo4,722.38,614.18,436.9,
11/2008,Tipo5,,783.35,557.79,476.64
11/2008,Tipo6,,669.28,517.23,455.36
11/2008,Tipo7,,584.53,456.74,398.87
12/2008,Tipo1,,646.16,464.83,390.98
12/2008,Tipo2,,725.8,521.62,439.84
12/2008,Tipo3,,722.45,530.91,455.31
12/2008,Tipo4,722.65,614.42,440.18,
12/2008,Tipo5,,783.62,561.53,478.18
12/2008,Tipo6,,669.51,519.26,456.4
12/2008,Tipo7,,584.78,458.83,399.68
1/2009,Tipo1,,647.37,466.04,390.98
1/2009,Tipo2,,727.11,522.97,439.98
1/2009,Tipo3,,723.91,532.26,455.43
1/2009,Tipo4,725.33,615.93,441.54,
1/2009,Tipo5,,784.98,562.89,478.26
1/2009,Tipo6,,671.01,520.89,456.99
1/2009,Tipo7,,586.81,460.86,400.56
2/2009,Tipo1,,647.25,466.81,390.26
2/2009,Tipo2,,727.14,523.98,439.25
2/2009,Tipo3,,723.92,533.06,454.65
2/2009,Tipo4,726.09,616.14,442.48,
2/2009,Tipo5,,784.92,563.78,477.46
2/2009,Tipo6,,671.79,522.13,457.51
2/2009,Tipo7,,588.02,462.58,401.39
3/2009,Tipo1,,648.76,468.09,389.78
3/2009,Tipo2,,728.79,525.35,438.69
3/2009,Tipo3,,725.29,534.25,453.91
3/2009,Tipo4,728.53,617.51,443.79,
3/2009,Tipo5,,787.27,565.49,477.01
3/2009,Tipo6,,672.09,522.53,456.4
3/2009,Tipo7,,588.84,463.16,400.37
4/2009,Tipo1,,647.99,468.27,389.17
4/2009,Tipo2,,727.92,525.59,438.14
4/2009,Tipo3,,724.16,534.44,453.24
4/2009,Tipo4,727.96,616.64,444.11,
4/2009,Tipo5,,786.87,565.64,476.35
4/2009,Tipo6,,670.62,522.15,455.49
4/2009,Tipo7,,588.08,463.39,399.84
5/2009,Tipo1,,663.02,476.59,397.44
5/2009,Tipo2,,744.62,534.84,447.23
5/2009,Tipo3,,740.61,543.83,462.52
5/2009,Tipo4,744.29,631.3,452,
5/2009,Tipo5,,804.4,575.75,486.29
5/2009,Tipo6,,686.26,533.17,466.53
5/2009,Tipo7,,600.57,471.68,408.17
6/2009,Tipo1,,663.47,476.64,397.67
6/2009,Tipo2,,745.26,534.99,447.44
6/2009,Tipo3,,741.46,544.18,462.91
6/2009,Tipo4,746.78,631.96,452.18,
6/2009,Tipo5,,805.29,576.05,486.55
6/2009,Tipo6,,687.16,533.5,466.86
6/2009,Tipo7,,601.43,472.06,408.65
7/2009,Tipo1,,663.68,477.57,398.18
7/2009,Tipo2,,745.47,535.96,447.97
7/2009,Tipo3,,741.25,544.7,463.1
7/2009,Tipo4,747.46,632,452.97,
7/2009,Tipo5,,805.45,577.03,487.15
7/2009,Tipo6,,687.48,534.32,467.52
7/2009,Tipo7,,601.89,472.87,409.29
8/2009,Tipo1,,666.7,479.41,399.65
8/2009,Tipo2,,748.55,537.87,449.67
8/2009,Tipo3,,744.99,547.18,465.29
8/2009,Tipo4,751.19,635.02,454.8,
8/2009,Tipo5,,808.52,578.94,488.84
8/2009,Tipo6,,690.55,536.92,469.38
8/2009,Tipo7,,604.83,475.17,410.87
9/2009,Tipo1,,668.31,479.31,399.45
9/2009,Tipo2,,750.16,537.76,449.44
9/2009,Tipo3,,746.74,547.13,465.06
9/2009,Tipo4,752.2,636.81,454.92,
9/2009,Tipo5,,810.13,578.8,488.5
9/2009,Tipo6,,692.1,537.09,469.51
9/2009,Tipo7,,606.57,475.51,411.03
10/2009,Tipo1,,670.39,480.29,400.91
10/2009,Tipo2,,752.57,538.95,451.13
10/2009,Tipo3,,749.22,548.35,466.58
10/2009,Tipo4,755.95,639.33,456.06,
10/2009,Tipo5,,813.2,580.41,490.44
10/2009,Tipo6,,693.5,538.09,470.89
10/2009,Tipo7,,608.69,476.74,412.33
11/2009,Tipo1,,671.54,481.99,402.11
11/2009,Tipo2,,753.86,540.84,452.47
11/2009,Tipo3,,750.83,550.4,468.13
11/2009,Tipo4,757.21,640.64,457.75,
11/2009,Tipo5,,814.5,582.4,491.87
11/2009,Tipo6,,695.1,539.69,472.24
11/2009,Tipo7,,610.07,478.36,413.62
12/2009,Tipo1,,676.35,485.04,404.57
12/2009,Tipo2,,759.32,544.15,455.16
12/2009,Tipo3,,756.06,553.59,470.78
12/2009,Tipo4,760.86,645.15,460.44,
12/2009,Tipo5,,820.53,586.21,495.02
12/2009,Tipo6,,699.66,542.73,474.72
12/2009,Tipo7,,614.29,481.05,415.82
1/2010,Tipo1,,682.68,488.78,409.44
1/2010,Tipo2,,766.23,548.22,460.48
1/2010,Tipo3,,763.08,557.9,476.19
1/2010,Tipo4,767.33,651.45,464.12,
1/2010,Tipo5,,827.59,590.66,500.66
1/2010,Tipo6,,706.49,548.01,480.54
